Quiz,Score,Total,Percentage,Date
Organic Chemistry,4,7,57.1%,2025-03-24
Organic Chemistry,4,7,57.1%,2025-03-24
Police quiz 1,9,10,90.0%,2025-03-24
Eng Police 2,7,12,58.3%,2025-03-24
Geometry Challenge,0,1,0.0%,2025-03-25
Geometry Challenge,0,4,0.0%,2025-03-25
Geometry Challenge,0,1,0.0%,2025-03-25
Geometry Challenge,1,4,25.0%,2025-03-25
Geometry Challenge,0,4,0.0%,2025-03-25
Geometry Challenge,1,3,33.3%,2025-03-25
Geometry Challenge,0,4,0.0%,2025-03-25
Geometry Challenge,1,4,25.0%,2025-03-25
Geometry Challenge,1,4,25.0%,2025-03-25
Geometry Challenge,2,4,50.0%,2025-03-25
Geometry Challenge,2,3,66.7%,2025-03-25
Organic Chemistry,4,7,57.1%,2025-03-25
Organic Chemistry,1,2,50.0%,2025-03-25
HP gk FOR cOMMANDOO,8,10,80.0%,2025-03-26
Geometry Challenge,3,4,75.0%,2025-03-27
Organic Chemistry,4,7,57.1%,2025-03-28
new alzz quizz,0,0,0.0%,2025-03-28
new alzz quizz,0,0,0.0%,2025-03-28
new alzz quizz,0,0,0.0%,2025-03-28
Commando 1,3,10,30.0%,2025-06-26
Geometry Challenge,0,5,0.0%,2025-07-26
Organic Chemistry,0,6,0.0%,2025-07-26
